id_programas;id_team;id_curso;id_ensinosuperior;id_empresas;id_funcionarios
1;1;1009384;1;1;1
2;2;2009119;2;2;2
3;3;3009119;3;3;3
4;4;3009215;4;4;4
5;5;3008016;5;5;5
6;6;4009119;6;6;6
7;7;40042;7;7;7
8;8;5009119;8;8;8
9;9;6009119;9;9;9
10;10;9005;10;10;10
11;11;9008259;11;11;11
12;12;10005;12;12;12
13;13;10007;13;13;13
14;14;11009459;14;14;14
15;15;12009119;15;15;15
16;16;13009119;16;16;16
17;17;15009119;17;17;17
18;18;150079;18;18;18
19;19;150091211;19;19;19
20;20;15009098;20;20;20
21;21;150091212;21;21;21
22;22;30209119;22;22;22
23;23;30409119;23;23;23
24;24;30509119;24;24;24
25;25;30509248;25;25;25
26;26;30609186;26;26;26
27;27;306091191;27;27;27
28;28;30609770;28;28;28
29;29;30609885;29;29;29
30;30;306091192;30;30;30
31;31;30909119;31;31;31
32;32;31009119;32;32;32
33;33;31009885;33;33;33
34;34;31109121;34;34;34
35;35;311052;35;35;35
36;36;3110119;36;36;36
37;37;31209119;37;37;37
38;38;313091191;38;38;38
39;39;31308288;39;39;39
40;40;31308398;40;40;40
41;41;313091192;41;41;41
42;42;313071;42;42;42
43;43;31409185;43;43;43
44;44;31509119;44;44;44
45;45;31509687;45;45;45
46;46;31609119;46;46;46
47;47;31809119;47;47;47
48;48;31809122;48;48;48
49;49;31809168;49;49;49
50;50;32409119;50;50;50
51;51;3240143;51;51;51
52;52;68008366;52;52;52
53;53;68009098;53;53;53
54;54;68009119;54;54;54
55;55;68009189;55;55;55
56;56;68009885;56;56;56
57;57;1009384;57;57;57
58;58;2009119;58;58;58
59;59;3009119;59;59;59
60;60;3009215;60;60;60
61;61;3008016;61;61;61
62;62;4009119;62;62;62
63;63;40042;63;63;63
64;64;5009119;64;64;64
65;65;6009119;65;65;65
66;66;9005;66;66;66
67;67;9008259;67;67;67
68;68;10005;68;68;68
69;69;10007;69;69;69
70;70;11009459;70;70;70
71;71;12009119;71;71;71
72;72;13009119;72;72;72
73;73;15009119;73;73;73
74;74;150079;74;74;74
75;75;150091211;75;75;75
76;76;15009098;76;76;76
77;77;150091212;77;77;77
78;78;30209119;78;78;78
79;79;30409119;79;79;79
80;80;30509119;80;80;80
81;;30509248;81;;
82;;30609186;82;;
83;;306091191;83;;
84;;30609770;84;;
85;;30609885;85;;
86;;306091192;86;;
87;;30909119;87;;
88;;31009119;88;;
89;;31009885;89;;
90;;31109121;90;;
91;;311052;91;;
92;;3110119;92;;
93;;31209119;93;;
94;;313091191;94;;
95;;31308288;95;;
96;;31308398;96;;
97;;313091192;97;;
98;;313071;98;;
99;;31409185;99;;
100;;31509119;100;;
101;;31509687;101;;
102;;31609119;102;;
103;;31809119;103;;
104;;31809122;104;;
105;;31809168;105;;
106;;32409119;106;;
107;;3240143;107;;
108;;68008366;108;;
109;;68009098;109;;
110;;68009119;110;;
111;;68009189;111;;
112;;68009885;112;;
113;;1009384;113;;
114;;2009119;114;;
115;;3009119;115;;
116;;3009215;116;;
117;;3008016;117;;
118;;4009119;118;;
119;;40042;119;;
120;;5009119;120;;
121;;6009119;121;;
122;;9005;122;;
123;;9008259;123;;
124;;10005;124;;
125;;10007;125;;
126;;11009459;126;;
127;;12009119;127;;
128;;13009119;128;;
;;15009119;129;;
;;150079;130;;
;;150091211;131;;
;;15009098;132;;
;;150091212;133;;
;;30209119;134;;
;;30409119;135;;
;;30509119;136;;
;;30509248;137;;
;;30609186;138;;
